,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_3237,-7802.89867200291,10851.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10380,12611.1013279971,10868.3714753502,5,9,12,8,8,1,0,9,9,1
cell_1810,-12029.8986720029,10892.3714753502,13,10,9,12,9,9,11,17,18,9
cell_2952,-8729.89867200291,10861.3714753502,5,3,3,3,3,6,7,7,8,5
cell_5706,-364.89867200291,10766.3714753502,1,10,2,10,0,0,1,0,0,8
cell_6125,695.10132799709,10880.3714753502,9,10,9,10,9,0,1,0,0,8
cell_3424,-7358.89867200291,10876.3714753502,5,3,3,3,3,6,7,7,8,5
cell_5054,-2114.89867200291,10793.3714753502,11,9,8,8,8,1,0,11,10,3
cell_10700,13397.1013279971,10813.3714753502,15,3,3,3,3,6,7,7,8,5
cell_8105,6588.10132799709,10691.3714753502,11,10,9,10,9,1,1,0,0,8
cell_7560,4948.10132799709,10667.3714753502,14,15,16,17,17,14,15,14,14,16
cell_5745,-278.89867200291,10726.3714753502,1,10,9,10,0,0,1,0,0,8
cell_6156,764.10132799709,10842.3714753502,9,10,9,10,9,0,1,0,0,8
cell_9288,9850.10132799709,10721.3714753502,10,9,12,8,8,1,0,9,9,1
